url,status_code,CMS,category,advertise
http://www.adorebeauty.com.au/,200,Magento,Shopping,
http://www.carpetcourt.com.au/,200,Magento,Business,
http://www.jaxtyres.com.au/,200,Magento,Personal Vehicles,
http://www.propertyupdate.com.au/,200,Not Detection,Finance and Banking,
http://www.anytimefitness.com.au/,200,Not Detection,Health and Wellness,
http://www.hippoblue.com.au/,200,Not Detection,Education,
http://www.dollboxx.com.au/,200,Not Detection,Shopping,
http://www.chibebe.com.au/,200,Not Detection,Shopping,
http://www.mahiya.com.au/,200,Not Detection,Shopping,
http://www.thehorse.com.au/,200,Not Detection,Society and Lifestyles,
http://www.macfixit.com.au/,200,Not Detection,Information Technology,
http://www.australianfrequentflyer.com.au/,200,Not Detection,Travel,
http://www.stuckonyou.com.au/,200,Not Detection,Shopping,
http://www.v8supercars.com.au/,200,Not Detection,Sports,
http://www.suppsrus.com.au/,200,Not Detection,Health and Wellness,
http://www.pajeroclub.com.au/,200,Not Detection,Sports,
http://www.replas.com.au/,200,Not Detection,Business,
http://www.aminoz.com.au/,200,Not Detection,Not Detection,
http://www.colettehayman.com.au/,200,Not Detection,Shopping,
http://www.bedbathntable.com.au/,200,Not Detection,Business,
http://www.mattblatt.com.au/,200,Not Detection,Shopping,
http://www.mitre10.com.au/,200,Not Detection,Business,
http://www.ctrlf5webservices.com.au/,200,Not Detection,Information Technology,
http://www.jackmedia.com.au/,200,Not Detection,Business,
http://www.kingliving.com.au/,200,Not Detection,Shopping,
http://www.eway.com.au/,200,WordPress,Information Technology,False
http://www.legalvision.com.au/,200,Not Detection,Business,
http://www.superguide.com.au/,200,Not Detection,Finance and Banking,
http://www.dxracer.com.au/,200,Not Detection,Shopping,
http://www.klika.com.au/,200,Not Detection,Shopping,
http://www.lebara.com.au/,200,Not Detection,Information Technology,
http://www.dailyreckoning.com.au/,200,Not Detection,Brokerage and Trading,
http://www.inspireeducation.net.au/,200,Not Detection,Education,
http://www.brisbanekids.com.au/,200,Not Detection,General Organizations,
http://www.barbequesgalore.com.au/,200,Not Detection,Shopping,
http://www.theweekendedition.com.au/,200,Not Detection,News and Media,
http://www.hushpuppies.com.au/,200,Not Detection,Business,
http://www.middleagedmama.com.au/,200,Not Detection,Personal Websites and Blogs,
http://www.converga.com.au/,200,Not Detection,Business,
http://www.beserk.com.au/,200,Not Detection,Shopping,
http://www.oceanhomeloans.com.au/,200,Not Detection,Finance and Banking,
http://www.canstar.com.au/,200,Not Detection,Finance and Banking,
http://www.craftonline.com.au/,200,Not Detection,Shopping,
http://www.macrobusiness.com.au/,200,Not Detection,Business,
http://www.harrisfarm.com.au/,200,Not Detection,Business,
http://www.comparetv.com.au/,200,Not Detection,Entertainment,
http://www.seocopilot.com.au/,200,Not Detection,Business,
http://www.tafecourses.com.au/,200,Not Detection,Business,
http://www.mybusinesscentral.com.au/,200,Not Detection,Business,
http://www.roxcii.com.au/,200,Not Detection,Business,
http://www.breville.com.au/,200,Not Detection,Business,
http://www.eldersrealestate.com.au/,200,Not Detection,Real Estate,
http://www.4wdaction.com.au/,200,Not Detection,Personal Vehicles,
http://www.jw.com.au/,200,Not Detection,Information Technology,
http://www.tinyme.com.au/,200,Not Detection,Shopping,
http://www.cirrusmedia.com.au/,200,Not Detection,Information Technology,
http://www.boostjuice.com.au/,200,Not Detection,Business,
http://www.gomarkets.com.au/,200,Not Detection,News and Media,
http://www.dtbaker.com.au/,200,Not Detection,Information Technology,
http://www.factoryfast.com.au/,200,Not Detection,Shopping,
http://www.revengesales.com.au/,200,Not Detection,Shopping,
http://www.vanguardworld.com.au/,200,Not Detection,Business,
http://www.wittner.com.au/,200,Not Detection,Shopping,
http://www.radiotoday.com.au/,200,Not Detection,News and Media,
http://www.antheacrawford.com.au/,200,Not Detection,Society and Lifestyles,
http://www.excelphysio.com.au/,200,Not Detection,Health and Wellness,
http://www.joycemayne.com.au/,200,Not Detection,Business,
http://www.racingjobs.com.au/,200,Not Detection,Job Search,
http://www.dresshop.com.au/,200,Not Detection,Shopping,
http://www.gdayjapan.com.au/,200,Not Detection,Travel,
http://www.dtechdrivertraining.com.au/,200,Not Detection,Education,
http://www.kymodo.com.au/,200,Not Detection,Business,
http://www.gassani.com.au/,200,Not Detection,Business,
http://www.dreamtimeresorts.com.au/,200,Not Detection,Travel,
http://www.gormanshop.com.au/,200,Not Detection,Shopping,
http://www.livingstyles.com.au/,200,Not Detection,Shopping,
http://www.clubtroppo.com.au/,200,Not Detection,Personal Websites and Blogs,
http://www.turmericlife.com.au/,200,Not Detection,Entertainment,
http://www.therefinedgeek.com.au/,200,Not Detection,Personal Websites and Blogs,
http://www.annestreetpartners.com.au/,200,Not Detection,Business,
http://www.visser.com.au/,200,Not Detection,Information Technology,
http://www.efashion.net.au/,200,Not Detection,Not Detection,
http://www.aussiebroadband.com.au/,200,Not Detection,Information Technology,
http://www.everydayhero.com.au/,200,Not Detection,General Organizations,
http://www.adcentre.com.au/,200,Not Detection,Reference,
http://www.vidaxl.com.au/,200,Not Detection,Information Technology,
http://www.tarocash.com.au/,200,Not Detection,Shopping,
http://www.iga.com.au/,200,Not Detection,Business,
http://www.tonybianco.com.au/,200,Not Detection,Business,
http://www.cancercouncil.com.au/,200,Not Detection,Health and Wellness,
http://www.biante.com.au/,200,Not Detection,Shopping,
http://www.babykingdom.com.au/,200,Not Detection,Shopping,
http://www.doncasterhilldental.com.au/,200,Not Detection,Health and Wellness,
http://www.xeniaboutique.com.au/,200,Not Detection,Shopping,
http://www.goldentyreaustralia.com.au/,200,Not Detection,Business,
http://www.suitmeup.com.au/,200,Not Detection,Business,
http://www.popcherry.com.au/,200,Not Detection,Shopping,
http://www.clarks.com.au/,200,Not Detection,Business,
http://www.awol.com.au/,200,Not Detection,Travel,
http://www.spelldesigns.com.au/,200,Not Detection,Shopping,
http://www.hottoner.com.au/,200,Not Detection,Shopping,
http://www.lawpath.com.au/,200,Not Detection,Business,
http://www.twobluebirdies.com.au/,200,Not Detection,Shopping,
http://www.cambuy.com.au/,200,Not Detection,Shopping,
http://www.sheike.com.au/,200,Not Detection,Shopping,
http://www.kloud.com.au/,200,Not Detection,Business,
http://www.freshforkids.com.au/,200,Not Detection,Health and Wellness,
http://www.skinnymixers.com.au/,200,Not Detection,Restaurant and Dining,
http://www.goodness.com.au/,200,Not Detection,Business,
http://www.mishkah.com.au/,200,Not Detection,Shopping,
http://www.laura-ashley.com.au/,200,Not Detection,Business,
http://www.windsorsmith.com.au/,200,Not Detection,Shopping,
http://www.dixonsmith.com.au/,200,Not Detection,Shopping,
http://www.china.com.au/,200,Not Detection,Travel,
http://www.clickonfurniture.com.au/,200,Not Detection,Shopping,
http://www.shoutagency.com.au/,200,Not Detection,Business,
http://www.theweeklyreview.com.au/,200,Not Detection,Society and Lifestyles,
http://www.icedesign.com.au/,200,Not Detection,Business,
http://www.markomedia.com.au/,200,Not Detection,Personal Websites and Blogs,
http://www.kitepower.com.au/,200,Not Detection,Sports,
http://www.ticketbooth.com.au/,200,Not Detection,Business,
http://www.bikebiz.com.au/,200,Not Detection,Shopping,
http://www.josephgeorge.com.au/,200,Not Detection,Business,
http://www.localsmile.com.au/,200,Not Detection,News and Media,
http://www.kikoff.com.au/,200,WordPress,Sports,False
http://www.macworld.com.au/,200,WordPress,Information Technology,True
http://www.pcaexpress.com.au/,200,Not Detection,Business,
http://www.experian.com.au/,200,Not Detection,Finance and Banking,
http://www.internetretailing.com.au/,200,Not Detection,Information Technology,
http://www.jdlighting.com.au/,200,Not Detection,Shopping,
http://www.hospitalitymagazine.com.au/,200,WordPress,News and Media,False
http://www.socialmedianews.com.au/,200,WordPress,Personal Websites and Blogs,True
http://www.starobserver.com.au/,200,WordPress,News and Media,True
http://www.golights.com.au/,200,Magento,Shopping,
http://www.theshovel.com.au/,200,Not Detection,News and Media,
http://www.hypop.com.au/,200,Shopify,Shopping,
http://www.profilebooster.com.au/,200,Not Detection,Information Technology,
http://www.brightstarkids.com.au/,200,Magento,Shopping,
http://www.earlysettler.com.au/,200,Magento,Business,
http://www.etax.com.au/,200,WordPress,Finance and Banking,False
http://www.quayaustralia.com.au/,200,Shopify,Shopping,
http://www.blisterprevention.com.au/,200,Squarespace,Health and Wellness,
http://www.bendonlingerie.com.au/,200,Magento,Lingerie and Swimsuit,
http://www.my247.com.au/,200,WordPress,Entertainment,False
http://www.undieguys.com.au/,200,WordPress,Shopping,False
http://www.keepcalmgetorganised.com.au/,200,WordPress,Shopping,False
http://www.enviropestcontrol.com.au/,200,Not Detection,Business,
http://www.megantic.com.au/,200,WordPress,Information Technology,False
http://www.nicks.com.au/,200,Magento,Alcohol,
http://www.unsealed4x4.com.au/,200,WordPress,News and Media,True
http://www.connor.com.au/,200,Magento,Travel,
http://www.assignar.com.au/,200,Not Detection,Business,
http://www.i-tech.com.au/,200,Magento,Information Technology,
http://www.addrunner.com.au/,200,Not Detection,Business,
http://www.cocomi.com.au/,200,Not Detection,Shopping,
http://www.rogerdavid.com.au/,200,Magento,Shopping,
http://www.hercanberra.com.au/,200,WordPress,Society and Lifestyles,False
http://www.buymobile.com.au/,200,Shopify,Shopping,
http://www.canstarblue.com.au/,200,WordPress,Society and Lifestyles,False
http://www.drummondgolf.com.au/,200,Magento,Business,
http://www.jasonl.com.au/,200,Shopify,Business,
http://www.sussan.com.au/,200,Magento,Business,
http://www.melbournegirl.com.au/,200,WordPress,Society and Lifestyles,False
http://www.vividads.com.au/,200,Shopify,Business,
http://www.mumsgrapevine.com.au/,200,WordPress,Shopping,False
http://www.perthfestival.com.au/,200,WordPress,Entertainment,False
http://www.thepartypeople.com.au/,200,Magento,Shopping,
http://www.rexel.com.au/,200,WordPress,Business,False
http://www.bloch.com.au/,200,PrestaShop,Business,
http://www.ozdesignfurniture.com.au/,200,Magento,Shopping,
http://www.swagcampertrailers.com.au/,200,WordPress,Personal Vehicles,False
http://www.converse.com.au/,200,Magento,Shopping,
http://www.cocorepublic.com.au/,200,Magento,Shopping,
http://www.thehippocket.com.au/,200,WordPress,Business,False
http://www.elitesupps.com.au/,200,Shopify,Health and Wellness,
http://www.socialgarden.com.au/,200,WordPress,Business,False
http://www.selby.com.au/,200,Magento,Shopping,
http://www.bigwphotos.com.au/,200,Shopify,Entertainment,
http://www.eglobaltravelmedia.com.au/,200,WordPress,Reference,True
http://www.blankwall.com.au/,200,Magento,Business,
http://www.inthemix.com.au/,200,Not Detection,Entertainment,
http://www.nutritionwarehouse.com.au/,200,Magento,Health and Wellness,
http://www.kresta.com.au/,200,WordPress,Business,False
http://www.cebit.com.au/,200,WordPress,Business,False
http://www.minkajoinery.com.au/,200,WordPress,Business,False
http://www.supanova.com.au/,200,WordPress,Entertainment,False
http://www.nickscali.com.au/,200,Magento,Business,
http://www.orcinternational.com.au/,200,WordPress,Business,False
http://www.steptwo.com.au/,200,WordPress,Business,False
http://www.swimweargalore.com.au/,200,Magento,Lingerie and Swimsuit,
http://www.artificialturfdirect.com.au/,200,WordPress,Real Estate,False
http://www.coffeeclub.com.au/,200,WordPress,Restaurant and Dining,False
